Data_Hora,Ativo,Horario_Tick_MT5,Fechamento_Anterior,Preco_Ajuste_Referencia,Ultimo_Preco_Leilao,Bid,Ask,Gap_vs_Fechamento_Pts,Gap_vs_Ajuste_Pts
2026-08-18 06:19:33,WIN$,2026-08-18 06:00:09,169975.0,169975.0,169975.0,0.0,0.0,0,0
2026-08-18 06:19:35,WIN$,2026-08-18 06:00:09,169975.0,169975.0,169975.0,0.0,0.0,0,0
2026-08-18 06:19:37,WIN$,2026-08-18 06:00:09,169975.0,169975.0,169975.0,0.0,0.0,0,0
2026-08-18 06:19:39,WIN$,2026-08-18 06:00:09,169975.0,169975.0,169975.0,0.0,0.0,0,0
2026-08-18 06:19:41,WIN$,2026-08-18 06:00:09,169975.0,169975.0,169975.0,0.0,0.0,0,0
2026-08-18 09:32:47,WIN$,2026-08-18 09:32:47,169975.0,169975.0,169760.0,169760.0,169765.0,-215,-215
2026-08-18 09:32:49,WIN$,2026-08-18 09:32:49,169975.0,169975.0,169750.0,169750.0,169755.0,-225,-225
2026-08-18 09:32:51,WIN$,2026-08-18 09:32:51,169975.0,169975.0,169760.0,169755.0,169760.0,-215,-215
2026-08-18 14:46:06,WIN$,2026-08-18 14:46:06,169975.0,169975.0,169955.0,169950.0,169955.0,-20,-20
2026-08-18 14:46:08,WIN$,2026-08-18 14:46:08,169975.0,169975.0,169955.0,169950.0,169955.0,-20,-20
2026-08-18 14:46:10,WIN$,2026-08-18 14:46:10,169975.0,169975.0,169945.0,169940.0,169945.0,-30,-30
2026-08-18 14:46:12,WIN$,2026-08-18 14:46:12,169975.0,169975.0,169940.0,169940.0,169945.0,-35,-35
